helical_angle,helical_layer_count,hoop_angle,hoop_layer_count,doily1,doily2,total_layers,bust_pressure,avg_fibre_content,glass_transition_temprature,tensile_str,e1_gpa,youngs_modulus,poision_ratio,yeild_strength,ult_tensile_strength,liner_thickness,diameter
0,0,0,0,0,0,0,277,0,0,0,0,57.5,0.33,240.3,317,6,130
0,0,0,0,0,0,0,273,0,0,0,0,57.5,0.33,240.3,317,6,130
0,0,0,0,0,0,0,275,0,0,0,0,57.5,0.33,240.3,317,6,130
14,3,90,3,0,0,6,519,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,3,90,3,0,0,6,383,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,3,90,6,0,0,9,438,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,3,90,9,0,0,12,552,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,6,90,6,0,0,12,700,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,6,90,6,0,0,12,556,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,5,90,3,0,0,8,500,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,10,90,10,0,0,20,923,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,11,90,11,0,0,22,935,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,9,90,9,0,0,18,735,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,13,90,10,0,0,23,705,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,9,90,6,0,0,15,530,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,3,90,3,0,0,6,520,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,9,90,9,0,0,18,745,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,9,90,8,0,0,17,1050,61.41,153.43,1082,108.3,57.5,0.33,240.3,317,6,130
14,12,90,11,0,0,23,1050,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,13,90,11,0,0,24,1050,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,15,90,11,0,0,26,880,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,8,0,0,17,1014,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,0,0,16,1018,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,7,0,16,1146,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,11,0,16,1170,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,15,0,16,1260,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,0,16,1211,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,0,16,1235,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,0,16,1280,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,5,16,926,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,5,16,1004,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,0,16,1036,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,6,17,0,15,1229,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,9,16,1355,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7,17,9,16,1397,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,8,17,9,17,1511,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7.5,17,9,16.5,1388,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
14,9,90,7.5,17,9,16.5,1518,60.06,151.41,1100,95.6,57.5,0.33,240.3,317,6,130
11,3,90,3,0,0,6,965,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,3,90,3,0,0,6,848,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,3,90,3,0,0,6,831,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,3,90,3,0,0,6,879,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,6,90,6,0,0,12,1129,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,6,90,6,0,0,12,1096,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,3,90,3,0,0,6,922,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
11,3,90,3,0,0,6,887,58.14,154.8,609.8,27.93,192,0.28,235,360,4,132
0,0,0,0,0,0,0,657,0,0,0,0,192,0.28,235,360,4,132
0,0,0,0,0,0,0,622,0,0,0,0,192,0.28,235,360,4,132
0,0,0,0,0,0,0,692,0,0,0,0,192,0.28,235,360,4,132
